"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Photo","1.0","Photo-{6375}","{https://cdn.sofifa.org/players/4/19/229317.png}","https://cdn.sofifa.org/players/4/19/229317.png",,
"Photo","1.0","Photo-{6242}","{https://cdn.sofifa.org/players/4/19/192673.png}","https://cdn.sofifa.org/players/4/19/192673.png",,
"Photo","1.0","Photo-{2191}","{https://cdn.sofifa.org/players/4/19/188992.png}","https://cdn.sofifa.org/players/4/19/188992.png",,
"Photo","1.0","Photo-{1621|3007127}","{https://cdn.sofifa.org/players/4/19/205849.png|http://zq.win007.com/Image/player/images/201291843446.jpg}","https://cdn.sofifa.org/players/4/19/205849.png",,
"Photo","1.0","Photo-{12744}","{https://cdn.sofifa.org/players/4/19/225450.png}","https://cdn.sofifa.org/players/4/19/225450.png",,
"Photo","1.0","Photo-{10216}","{https://cdn.sofifa.org/players/4/19/202053.png}","https://cdn.sofifa.org/players/4/19/202053.png",,
"Photo","1.0","Photo-{12877}","{https://cdn.sofifa.org/players/4/19/181452.png}","https://cdn.sofifa.org/players/4/19/181452.png",,
"Photo","1.0","Photo-{3002332|97|1192}","{http://zq.win007.com/Image/player/images/2014612173524.jpg|https://cdn.sofifa.org/players/4/19/181872.png|https://cdn.sofifa.org/players/4/19/202493.png}","https://cdn.sofifa.org/players/4/19/181872.png",,
"Photo","1.0","Photo-{6616|3004607}","{https://cdn.sofifa.org/players/4/19/226050.png|http://zq.win007.com/Image/player/images/2015721150938.jpg}","https://cdn.sofifa.org/players/4/19/226050.png",,
"Photo","1.0","Photo-{1961}","{https://cdn.sofifa.org/players/4/19/149184.png}","https://cdn.sofifa.org/players/4/19/149184.png",,
"Photo","1.0","Photo-{3006538}","{http://zq.win007.com/Image/player/images/2015710165747.jpg}","http://zq.win007.com/Image/player/images/2015710165747.jpg",,
"Photo","1.0","Photo-{3005157|1893}","{http://zq.win007.com/Image/player/images/2019824175844.jpg|https://cdn.sofifa.org/players/4/19/225439.png}","https://cdn.sofifa.org/players/4/19/225439.png",,
"Photo","0.5","Photo-{13682|3009575}","{https://cdn.sofifa.org/players/4/19/244661.png|}","https://cdn.sofifa.org/players/4/19/244661.png",,
"Photo","1.0","Photo-{3008092}","{http://zq.win007.com/Image/player/images/2018923115053.png}","http://zq.win007.com/Image/player/images/2018923115053.png",,
"Photo","1.0","Photo-{3009517}","{http://zq.win007.com/Image/player/images/2018820164210.png}","http://zq.win007.com/Image/player/images/2018820164210.png",,
"Photo","1.0","Photo-{3006135|9852}","{|https://cdn.sofifa.org/players/4/19/236273.png}","https://cdn.sofifa.org/players/4/19/236273.png",,
"Photo","1.0","Photo-{119}","{https://cdn.sofifa.org/players/4/19/209499.png}","https://cdn.sofifa.org/players/4/19/209499.png",,
"Photo","1.0","Photo-{2192}","{https://cdn.sofifa.org/players/4/19/199745.png}","https://cdn.sofifa.org/players/4/19/199745.png",,
"Photo","1.0","Photo-{13162|3008334}","{https://cdn.sofifa.org/players/4/19/239134.png|http://zq.win007.com/Image/player/images/2017725141424.jpg}","https://cdn.sofifa.org/players/4/19/239134.png",,
"Photo","1.0","Photo-{3002354}","{http://zq.win007.com/Image/player/images/201982491913.png}","http://zq.win007.com/Image/player/images/201982491913.png",,
"Photo","1.0","Photo-{2771|3008919}","{https://cdn.sofifa.org/players/4/19/189514.png|http://zq.win007.com/Image/player/images/201461754904.png}","https://cdn.sofifa.org/players/4/19/189514.png",,
"Photo","1.0","Photo-{3002918|8445}","{http://zq.win007.com/Image/player/images/201481664832.jpg|https://cdn.sofifa.org/players/4/19/198840.png}","https://cdn.sofifa.org/players/4/19/198840.png",,
"Photo","1.0","Photo-{3006404}","{http://zq.win007.com/Image/player/images/2018712144719.jpg}","http://zq.win007.com/Image/player/images/2018712144719.jpg",,
"Photo","1.0","Photo-{9910|3393}","{https://cdn.sofifa.org/players/4/19/207613.png|https://cdn.sofifa.org/players/4/19/202811.png}","https://cdn.sofifa.org/players/4/19/207613.png",,
"Photo","1.0","Photo-{8779}","{https://cdn.sofifa.org/players/4/19/143107.png}","https://cdn.sofifa.org/players/4/19/143107.png",,
"Photo","1.0","Photo-{14040}","{https://cdn.sofifa.org/players/4/19/231967.png}","https://cdn.sofifa.org/players/4/19/231967.png",,
"Photo","1.0","Photo-{1962}","{https://cdn.sofifa.org/players/4/19/196801.png}","https://cdn.sofifa.org/players/4/19/196801.png",,
"Photo","1.0","Photo-{3006124|3297}","{http://zq.win007.com/Image/player/images/2013921202729.jpg|https://cdn.sofifa.org/players/4/19/167706.png}","https://cdn.sofifa.org/players/4/19/167706.png",,
"Photo","1.0","Photo-{3008159|3002173|3004372|14844}","{http://zq.win007.com/Image/player/images/2015216113952.jpg|http://zq.win007.com/Image/player/images\c608f418-d4e7-44fb-ac90-ab6d02f11d5b.jpg|http://zq.win007.com/Image/player/images/2018910224038.jpg|https://cdn.sofifa.org/players/4/19/225868.png}","https://cdn.sofifa.org/players/4/19/225868.png",,
"Photo","1.0","Photo-{11062|3001690}","{https://cdn.sofifa.org/players/4/19/200210.png|http://zq.win007.com/Image/player/images/2014930174026.png}","https://cdn.sofifa.org/players/4/19/200210.png",,
"Photo","1.0","Photo-{865}","{https://cdn.sofifa.org/players/4/19/153260.png}","https://cdn.sofifa.org/players/4/19/153260.png",,
"Photo","1.0","Photo-{7315}","{https://cdn.sofifa.org/players/4/19/184747.png}","https://cdn.sofifa.org/players/4/19/184747.png",,
"Photo","1.0","Photo-{2060}","{https://cdn.sofifa.org/players/4/19/200443.png}","https://cdn.sofifa.org/players/4/19/200443.png",,
"Photo","1.0","Photo-{11411}","{https://cdn.sofifa.org/players/4/19/197990.png}","https://cdn.sofifa.org/players/4/19/197990.png",,
"Photo","0.8","Photo-{3001065|15617|3597|18068|3001040}","{http://zq.win007.com/Image/player/images/2018921232252.png|https://cdn.sofifa.org/players/4/19/224673.png|https://cdn.sofifa.org/players/4/19/221820.png|https://cdn.sofifa.org/players/4/19/241303.png|http://zq.win007.com/Image/player/images/2016321133020.jpg}","https://cdn.sofifa.org/players/4/19/224673.png",,
"Photo","1.0","Photo-{3009091|11542}","{http://zq.win007.com/Image/player/images/2015723165047.jpg|https://cdn.sofifa.org/players/4/19/225927.png}","https://cdn.sofifa.org/players/4/19/225927.png",,
"Photo","1.0","Photo-{9970}","{https://cdn.sofifa.org/players/4/19/204554.png}","https://cdn.sofifa.org/players/4/19/204554.png",,
"Photo","1.0","Photo-{3604|3008787}","{https://cdn.sofifa.org/players/4/19/16254.png|http://zq.win007.com/Image/player/images/201461760034.jpg}","https://cdn.sofifa.org/players/4/19/16254.png",,
"Photo","1.0","Photo-{3391}","{https://cdn.sofifa.org/players/4/19/51257.png}","https://cdn.sofifa.org/players/4/19/51257.png",,
"Photo","1.0","Photo-{1963}","{https://cdn.sofifa.org/players/4/19/149185.png}","https://cdn.sofifa.org/players/4/19/149185.png",,
"Photo","1.0","Photo-{8645}","{https://cdn.sofifa.org/players/4/19/190180.png}","https://cdn.sofifa.org/players/4/19/190180.png",,
"Photo","1.0","Photo-{3002709}","{http://zq.win007.com/Image/player/images/2016920120042.png}","http://zq.win007.com/Image/player/images/2016920120042.png",,
"Photo","1.0","Photo-{992}","{https://cdn.sofifa.org/players/4/19/190799.png}","https://cdn.sofifa.org/players/4/19/190799.png",,
"Photo","1.0","Photo-{1830}","{https://cdn.sofifa.org/players/4/19/194174.png}","https://cdn.sofifa.org/players/4/19/194174.png",,
"Photo","1.0","Photo-{12742}","{https://cdn.sofifa.org/players/4/19/216746.png}","https://cdn.sofifa.org/players/4/19/216746.png",,
"Photo","1.0","Photo-{11545}","{https://cdn.sofifa.org/players/4/19/177799.png}","https://cdn.sofifa.org/players/4/19/177799.png",,
"Photo","1.0","Photo-{3004141|394}","{http://zq.win007.com/Image/player/images/20146485300.jpg|https://cdn.sofifa.org/players/4/19/173221.png}","https://cdn.sofifa.org/players/4/19/173221.png",,
"Photo","1.0","Photo-{8511}","{https://cdn.sofifa.org/players/4/19/138181.png}","https://cdn.sofifa.org/players/4/19/138181.png",,
"Photo","1.0","Photo-{3004212|3004244|3007433|5841|2792|780}","{http://zq.win007.com/Image/player/images/2018821174813.png|http://zq.win007.com/Image/player/images/201888143033.jpg|http://zq.win007.com/Image/player/images/20146490032.jpg|https://cdn.sofifa.org/players/4/19/216376.png|https://cdn.sofifa.org/players/4/19/199761.png|https://cdn.sofifa.org/players/4/19/216065.png}","https://cdn.sofifa.org/players/4/19/216376.png",,
"Photo","1.0","Photo-{7447}","{https://cdn.sofifa.org/players/4/19/162512.png}","https://cdn.sofifa.org/players/4/19/162512.png",,
"Photo","1.0","Photo-{864}","{https://cdn.sofifa.org/players/4/19/158121.png}","https://cdn.sofifa.org/players/4/19/158121.png",,
