"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAESDComparatorJaccard record1Value","[0] PlayerNameFIFAESDComparatorJaccard record2Value","[0] PlayerNameFIFAESDComparatorJaccard record1PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard record2PreprocessedValue","[0] PlayerNameFIFAESDComparatorJaccard similarity","[0] PlayerNameFIFAESDComparatorJaccard postproccesedSimilarity","[1] HeightFIFAESDAbsoluteDifferences record1Value","[1] HeightFIFAESDAbsoluteDifferences record2Value","[1] HeightFIFAESDAbsoluteDifferences record1PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences record2PreprocessedValue","[1] HeightFIFAESDAbsoluteDifferences similarity","[1] HeightFIFAESDAbsoluteDifferences postproccesedSimilarity","[2] DateFIFAESDComparator2Year record1Value","[2] DateFIFAESDComparator2Year record2Value","[2] DateFIFAESDComparator2Year record1PreprocessedValue","[2] DateFIFAESDComparator2Year record2PreprocessedValue","[2] DateFIFAESDComparator2Year similarity","[2] DateFIFAESDComparator2Year postproccesedSimilarity"
"LinearCombinationMatchingRule","9075","2007227","0.6041666666666666",,"R. Seuntjens","Raoul Loe","r seuntjens","r loe","0.3333333333333333","0.3333333333333333","193.0399932861328","193.0399932861328","193.0399932861328","193.0399932861328","1.0","1.0","1990-01-01T00:00","1989-01-31T00:00","1990-01-01T00:00","1989-01-31T00:00","0.75","0.75"
"LinearCombinationMatchingRule","7244","2006282","0.375",,"M. Kegel","Mitchell te Vrede","m kegel","m te vrede","0.25","0.25","182.8800048828125","193.0399932861328","182.8800048828125","193.0399932861328","0.0","0.0","1991-01-01T00:00","1991-08-07T00:00","1991-01-01T00:00","1991-08-07T00:00","1.0","1.0"
"LinearCombinationMatchingRule","12309","2000106","0.17854181925455728",,"A. Jafar","Adam Ounas","a jafar","a ounas","0.3333333333333333","0.3333333333333333","165.10000610351562","172.72000122070312","165.10000610351562","172.72000122070312","0.0475006103515625","0.0475006103515625","1995-01-01T00:00","1996-11-11T00:00","1995-01-01T00:00","1996-11-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1365","2008032","0.16666666666666666",,"S. Padt","Sime Vrsaljko","s padt","s vrsaljko","0.3333333333333333","0.3333333333333333","198.1199951171875","182.8800048828125","198.1199951171875","182.8800048828125","0.0","0.0","1991-01-01T00:00","1992-01-10T00:00","1991-01-01T00:00","1992-01-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","4829","2002456","0.25791708628336585",,"E. Falkenburg","Emanuele Suagher","e falkenburg","e suagher","0.3333333333333333","0.3333333333333333","187.9600067138672","193.0399932861328","187.9600067138672","193.0399932861328","0.3650016784667969","0.3650016784667969","1989-01-01T00:00","1992-11-26T00:00","1989-01-01T00:00","1992-11-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","4135","2000578","0.125",,"A. Uchida","Andre Vilas Boas","a uchida","a vilas boas","0.25","0.25","175.25999450683594","185.4199981689453","175.25999450683594","185.4199981689453","0.0","0.0","1989-01-01T00:00","1983-06-04T00:00","1989-01-01T00:00","1983-06-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","10996","2008824","0.0",,"W. Burns","Weligton","w burns","weligton","0.0","0.0","172.72000122070312","185.4199981689453","172.72000122070312","185.4199981689453","0.0","0.0","1996-01-01T00:00","1979-08-26T00:00","1996-01-01T00:00","1979-08-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","5082","2001050","0.25791660944620765",,"B. Kadrii","Bernardo Silva","b kadrii","b silva","0.3333333333333333","0.3333333333333333","177.8000030517578","172.72000122070312","177.8000030517578","172.72000122070312","0.36499977111816406","0.36499977111816406","1993-01-01T00:00","1994-08-10T00:00","1993-01-01T00:00","1994-08-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","1977","2004001","0.2956247329711914",,"João Teixeira","Jesse Lingard","joao teixeira","jesse lingard","0.0","0.0","177.8000030517578","175.25999450683594","177.8000030517578","175.25999450683594","0.6824989318847656","0.6824989318847656","1994-01-01T00:00","1992-12-15T00:00","1994-01-01T00:00","1992-12-15T00:00","0.5","0.5"
"LinearCombinationMatchingRule","11788","2000943","0.41666666666666663",,"B. Traoré","Bart Ramselaar","b traore","b ramselaar","0.3333333333333333","0.3333333333333333","177.8000030517578","177.8000030517578","177.8000030517578","177.8000030517578","1.0","1.0","1994-01-01T00:00","1996-06-29T00:00","1994-01-01T00:00","1996-06-29T00:00","0.0","0.0"
